time,POT_RF,Max_NTR,Max_RD
1952-12-09 23:00:00,70.6,0.298681944,6.796043182
1953-02-14 23:00:00,63.2,0.488231944,32.84754205
1953-04-06 23:00:00,57.2,0.248979167,5.493468239
1953-06-27 23:00:00,68.6,0.256226389,45.30695455
1953-08-19 23:00:00,77.0,-0.003151389,5.550101932
1953-12-06 23:00:00,73.7,0.395819444,46.43962841
1954-03-27 23:00:00,52.8,0.173319444,12.23287773
1954-07-16 23:00:00,73.4,0.097433333,1.529109716
1954-07-24 23:00:00,55.9,0.03455,1.897228722
1954-09-16 23:00:00,73.2,0.094847222,0.622970625
1954-11-15 23:00:00,61.7,0.335730556,0.622970625
1955-02-06 23:00:00,70.1,0.707983333,79.00400199
1955-04-10 23:00:00,68.8,0.160843056,103.6396585
1955-04-13 23:00:00,339.3,0.240358333,144.1327492
1955-08-01 23:00:00,113.0,0.424808333,120.6297665
1955-12-04 09:00:00,82.30261962,0.268763889,7.702182273
1956-01-22 23:00:00,52.3,0.438530556,11.89307557
1956-03-11 23:00:00,84.1,0.237105556,26.70278634
1956-06-13 23:00:00,72.1,0.341198611,35.39605824
1956-07-07 23:00:00,89.4,0.274330556,11.63822395
1956-09-24 22:00:00,118.4990964,0.729720833,78.72083353
1957-02-04 23:00:00,69.9,0.259256944,3.482972131
1957-03-31 23:00:00,66.5,0.704725,22.4269425
1957-04-04 23:00:00,130.3,0.368452778,34.54655284
1957-05-23 23:00:00,110.0,0.110244444,15.23446347
1957-09-18 23:00:00,122.7,0.098184722,121.4792719
1958-01-20 23:00:00,67.8,0.631530556,68.80993722
1958-03-06 23:00:00,78.7,0.360516667,44.74061762
1958-08-12 23:00:00,54.4,0.105425,2.860001506
1958-09-22 23:00:00,56.6,-0.0164125,23.2764479
1958-11-26 23:00:00,55.9,0.217193056,0.424752699
1959-04-10 23:00:00,60.7,0.167108333,10.84535224
1959-04-20 23:00:00,64.8,0.288129167,24.21090384
1959-06-08 23:00:00,72.6,0.114786111,133.9386844
1959-09-12 23:00:00,77.2,0.1679875,10.61881747
1959-09-26 23:00:00,56.9,-0.119508333,63.71290483
1960-01-17 23:00:00,70.1,0.422443056,30.01585739
1960-05-07 23:00:00,71.4,0.271361111,45.02378608
1960-07-10 23:00:00,52.1,0.065804167,0.266178358
1960-09-15 23:00:00,69.9,0.288476389,94.29509915
1960-10-06 23:00:00,49.8,0.050833333,9.797628921
1961-01-25 23:00:00,62.2,0.2769625,37.66140597
1961-03-17 23:00:00,82.6,0.503609722,146.3980969
1961-04-11 23:00:00,81.3,0.485269444,58.89904091
1961-06-20 23:00:00,154.4,0.402455556,116.099071
1961-12-10 23:00:00,91.4,0.3210625,72.20795881
1962-01-05 23:00:00,47.2,0.451668056,32.56437358
1962-02-18 23:00:00,69.1,0.291618056,35.67922671
1962-03-31 00:00:00,74.06697338,0.406494444,17.52812804
1962-07-18 23:00:00,49.3,-0.047155556,0.368119006
1962-12-29 23:00:00,43.7,0.298338889,16.11228571
1963-01-19 23:00:00,80.8,0.398806944,36.24556364
1963-04-06 23:00:00,46.5,0.26005,4.700596534
1963-06-18 23:00:00,57.9,0.063377778,0.150079287
1963-08-30 19:00:00,94.89786423,-0.049331944,3.341387898
1963-11-23 23:00:00,51.1,0.314956944,2.548516193
1964-01-08 23:00:00,63.0,0.441375,43.60794375
1964-04-06 23:00:00,61.0,0.240443056,7.022577955
1964-04-27 02:00:00,108.0042768,0.300233333,212.6595179
1964-05-02 23:00:00,66.0,0.267579167,11.41168918
1964-07-04 00:00:00,50.08611105,0.106573611,6.541191563
1965-01-23 15:00:00,126.1477451,0.4535875,74.47330654
1965-03-01 23:00:00,43.7,0.496558333,35.39605824
1965-05-22 23:00:00,96.5,0.060702778,5.465151392
1965-07-03 23:00:00,55.4,0.078538889,0.679604318
1965-09-30 23:00:00,137.2,0.1777375,26.44793472
1966-02-28 01:00:00,51.19715544,0.493254167,73.34063267
1966-07-22 23:00:00,50.0,0.050802778,4.162576449
1966-08-10 23:00:00,52.1,0.038547222,16.2255531
1966-09-12 23:00:00,39.9,0.044804167,2.435248807
1966-10-18 23:00:00,45.7,0.033188889,1.274258097
1967-01-01 23:00:00,67.8,0.310798611,58.89904091
1967-02-06 23:00:00,77.0,0.434198611,33.69704744
1967-09-06 23:00:00,167.1,0.074430556,47.28913381
1967-10-30 23:00:00,108.0,0.404534226,54.93468239
1967-12-10 23:00:00,86.9,0.392219835,103.0733216
1968-05-18 19:00:00,39.54485122,0.014506944,0.991089631
1968-06-09 23:00:00,35.3,0.037159722,0.396435852
