time,POT_NTR,Max_RF,Max_RD
1953-01-09 06:00:00,0.447390278,17.5,5.125349233
1953-01-23 15:00:00,0.4541,28.4,17.98119759
1953-02-15 01:00:00,0.488231944,63.2,32.84754205
1953-06-06 08:00:00,0.437640278,1.8,0.195386241
1953-12-04 09:00:00,0.424015278,65.83754017,46.43962841
1954-01-16 12:00:00,0.3602375,1.5,3.058219432
1954-02-20 14:00:00,0.366568056,24.9,9.797628921
1954-02-28 12:00:00,0.424830556,1.0,2.690100426
1954-03-20 04:00:00,0.341486111,11.7,6.824360029
1954-12-29 13:00:00,0.378109722,40.1,22.99327943
1955-01-18 18:00:00,0.522276389,25.33474976,28.88318352
1955-02-06 11:00:00,0.707983333,70.1,79.00400199
1955-02-22 06:00:00,0.349556944,14.80108886,13.98852222
1955-03-22 01:00:00,0.427079167,33.5,0.622970625
1955-08-01 22:00:00,0.424808333,113.0,120.6297665
1956-01-16 11:00:00,0.346513889,49.8,0.339802159
1956-01-19 07:00:00,0.486293056,49.8,2.010496108
1956-01-23 11:00:00,0.438530556,52.3,11.89307557
1956-02-25 10:00:00,0.371155556,1.0,2.152080341
1956-09-24 20:00:00,0.729720833,118.4990964,78.72083353
1957-02-19 06:00:00,0.402841667,16.3,3.313071051
1957-02-25 08:00:00,0.434176389,7.120896209,2.237030881
1957-03-04 14:00:00,0.388409722,5.1,2.378615114
1957-04-01 08:00:00,0.704725,66.5,22.4269425
1957-04-05 10:00:00,0.368452778,130.3,34.54655284
1958-01-13 09:00:00,0.567247222,20.3,14.27169068
1958-01-21 08:00:00,0.631530556,67.8,68.80993722
1958-01-24 06:00:00,0.599306944,16.26537668,35.67922671
1958-02-15 08:00:00,0.565895833,23.6,16.6503058
1958-02-27 10:00:00,0.476911111,21.3,6.22970625
1959-01-16 02:00:00,0.4008375,28.4,7.617231733
1959-01-21 19:00:00,0.568772222,10.2,9.202975142
1959-03-05 22:00:00,0.468347222,43.4,38.51091137
1959-12-12 10:00:00,0.383469444,43.2,9.202975142
1959-12-28 10:00:00,0.393586111,5.837438297,4.219210142
1960-01-18 01:00:00,0.422443056,70.1,30.01585739
1960-02-04 07:00:00,0.540594444,41.1,57.76636705
1960-02-10 21:00:00,0.578844444,19.09204969,7.64554858
1960-03-03 03:00:00,0.435444444,28.7,14.35664122
1960-04-03 13:00:00,0.422630556,46.2,84.10103438
1961-01-13 20:00:00,0.50725,17.5,9.627727841
1961-02-07 09:00:00,0.5794,24.4,10.02416369
1961-03-18 07:00:00,0.503609722,82.6,146.3980969
1961-04-12 12:00:00,0.485269444,81.3,58.89904091
1961-12-31 22:00:00,0.455044444,21.8,13.59208636
1962-01-01 01:00:00,0.461679167,21.8,13.59208636
1962-01-06 10:00:00,0.451668056,47.2,32.56437358
1962-01-27 22:00:00,0.394188889,19.3,20.18991162
1962-03-12 02:00:00,0.447673611,8.482070712,5.323567159
1962-03-31 17:00:00,0.406494444,74.06697338,17.52812804
1963-01-12 02:00:00,0.429925,42.7,5.720003012
1963-01-20 21:00:00,0.398806944,80.8,36.24556364
1963-02-11 17:00:00,0.419729167,28.4,19.65189153
1963-02-19 07:00:00,0.6178,35.6,19.99169369
1963-12-23 06:00:00,0.385854167,11.4,5.804953551
1964-01-06 19:00:00,0.441375,63.0,43.60794375
1964-01-20 06:00:00,0.442306944,12.00890212,13.13901682
1964-02-05 18:00:00,0.514436111,6.4,4.530695455
1964-02-18 08:00:00,0.468511111,16.8,9.259608836
1964-03-02 22:00:00,0.449072222,44.7,38.2277429
1965-01-23 17:00:00,0.4535875,126.1477451,74.47330654
1965-02-07 05:00:00,0.4021375,41.7,9.797628921
1965-02-24 21:00:00,0.420998611,10.4,8.495053978
1965-03-01 20:00:00,0.496558333,43.7,35.39605824
1965-09-10 07:00:00,0.594873611,32.43475103,19.70852523
1966-01-15 10:00:00,0.4988125,26.4,18.43426713
1966-01-29 09:00:00,0.504141667,17.5,29.73268892
1966-02-01 20:00:00,0.414784722,13.98199143,17.52812804
1966-02-10 17:00:00,0.606551389,38.1,52.10299773
1966-02-28 11:00:00,0.493254167,51.19715544,73.34063267
1967-01-07 09:00:00,0.378634722,12.25960192,12.54436304
1967-02-06 23:00:00,0.434198611,77.0,33.69704744
1967-10-31 02:00:00,0.404534226,108.0,54.93468239
1967-12-11 11:00:00,0.392219835,86.9,103.0733216
1967-12-28 08:00:00,0.401688889,23.6,18.00951443
1968-01-10 07:00:00,0.3745,2.761561172,8.240202358
1968-02-02 10:00:00,0.371851389,4.893781694,2.293664574
1968-02-29 06:00:00,0.407361111,24.6,5.012081847
1968-03-12 11:00:00,0.513565278,8.1,2.746734119
1968-12-28 09:00:00,0.525344444,104.6525725,16.2255531
1969-02-15 16:00:00,0.613105556,40.6,26.58951895
1969-03-06 16:00:00,0.541729167,44.5,10.42059955
1969-03-24 02:00:00,0.631665278,38.1,49.83765
1969-08-18 05:00:00,0.813261111,130.0,31.43169972
1969-12-07 08:00:00,0.783176389,36.3,8.89148983
1970-01-06 10:00:00,0.454052778,17.95098913,9.797628921
1970-02-02 04:00:00,0.714915278,36.6,17.41486065
