Original_Row,Cluster_ID,Year,Time,U_NTR,U_RD,U_RF,C12,C13,C23,C123,ReturnPeriod_Trivariate,ReturnPeriod_Bivariate,Density,t,mu_sim,sigma_sim,Sim_RF,Sim_NTR,Sim_RD,Weight,Probability
5492,0,1967,55,0.268243387092171,0.508221505101562,0.755943002179265,0.197213854528915,0.222546756558695,0.41954619841926,0.172,1.48259161166361,1.00826592900167,0.222546756558695,14.0616016427105,55.8306154669468,31.7489787001496,102.15604246548,0.130905780696554,34.2690807480858,19,0.0007063197026022305
7337,1,1974,74,0.881812301727568,0.792055503883124,0.843095078598708,0.72382322039503,0.746095191494306,0.702815402285168,0.612,4.56924264938945,9.43938939298136,0.746095191494306,21.0622861054073,56.4911680264343,32.778302307281,119.976579919149,0.579893633332963,83.0424299969668,19,0.0007063197026022305
1759,2,1956,18,0.628607996603195,0.994026431589384,0.935921943513677,0.626687775955098,0.59963388455472,0.932633609823023,0.61,,5.69736544433343,0.59963388455472,3.06091718001369,54.7926412064773,30.1315276819821,143.282716236347,0.344442846160759,296.611053504279,2,7.434944237918216e-05
22624,3,2013,227,0.285228523588547,0.374307117459292,0.297642748104408,0.169210977081754,0.119897915191359,0.16224225733187,0.083,0.48641354495318,0.372421000747972,0.119897915191359,60.062970568104,60.1710941937784,38.5126452027004,73.8939838673541,0.140796511079451,21.3921627002047,30,0.0011152416356877324
19760,4,2004,198,0.788000492858032,0.76307154815715,0.970538130030036,0.64370862385265,0.775139544383864,0.748311716449798,0.645,363.825790464301,12.0475239914027,0.775139544383864,51.0609171800137,59.3217016182622,37.189056614414,202.123375376599,0.470083173687316,75.4801369046592,6,0.00022304832713754646
543,5,1953,6,0.795652399079428,0.483296284030521,0.644469383638352,0.434179091649058,0.535004037617788,0.365709802878171,0.312,2.01055813649386,2.10787570563928,0.535004037617788,0.0629705681040383,54.5097686790472,29.6907340371605,85.9879605714777,0.477507683275759,31.582232821182,36,0.0013382899628252788
4671,6,1964,47,0.717051274704914,0.915613543568068,0.658353741280735,0.678740159152222,0.516600711457759,0.621204227755184,0.5,7.83498309258827,1.41647377656428,0.516600711457759,11.0609171800137,55.5474846084415,31.3077825040541,90.0518645572873,0.408657823132108,136.203269606227,16,0.0005947955390334573
12655,7,1988,127,0.339505115353556,0.711470963964526,0.881846852600574,0.295295674922701,0.313762607747271,0.656849693205562,0.257,2.62863750349348,2.16425295234071,0.313762607747271,35.0609171800137,57.8120148143339,34.8365469702701,136.156628706794,0.17189325937839,64.1504649352492,16,0.0005947955390334573
11956,8,1985,120,0.927859122867432,0.930638640200382,0.806739014340565,0.87074521908099,0.761325076084746,0.77088358245524,0.747,,7.48308666855927,0.761325076084746,32.062970568104,57.5291422869038,34.3957533254484,116.352682224236,0.662084088055508,147.910155155441,11,0.00040892193308550185
25861,9,2021,259,0.986090989186835,0.42893348685895,0.198809616500512,0.42672573543266,0.1970146434368,0.125809630525128,0.108,7.21607014102184,16.5097718974033,0.1970146434368,68.062970568104,60.9259375957425,39.6889000247724,69.7701453433551,0.893909591311907,26.2095507919698,12,0.0004460966542750929
