,Sim_NTR,Sim_RF,Sim_RD,U_NTR,U_RF,U_RD,Weights
4025,0.564443221689632,23.497111688828,15.8373318648068,0.795110705075786,0.339616524187026,0.46224527758328,30
4840,0.425225898009086,19.5147115668331,14.6791597408182,0.221627032384276,0.278902601020373,0.437883743894947,23
14108,0.511011043740843,61.9093413476838,29.4773842109892,0.605292840627953,0.747213294275819,0.658660842876641,28
20756,0.444450296671862,8.29839489990009,3.05263239194611,0.2253315418493,0.100479462180277,0.0764550505488594,32
5880,0.413830565734749,60.8329603345232,30.079509952321,0.11305174860172,0.739881244146902,0.664655349633344,33
16536,0.539291236254074,13.0957096811477,5.31617472748255,0.679962039692327,0.17665649384401,0.163630484944564,30
27002,0.717274028097077,65.7128423795747,68.2269485984395,0.901490667602047,0.771620373093276,0.861941195635486,32
14463,0.455813127944116,37.0370748642853,12.6136290473127,0.345728155924007,0.520701003419564,0.390020528009015,27
17418,0.685926166467726,43.6407032381797,4.22154616338682,0.897466444876045,0.593544649383206,0.121699624372529,13
19956,0.496683025316833,66.2290865136867,72.3886833107211,0.520872121909633,0.774759241761988,0.87224723381965,19
15537,0.526988008806417,30.2594426831792,43.3394188025186,0.650681236525998,0.435330592736342,0.764621916585981,19
7879,0.421700032502824,43.1603099820751,7.72120319551563,0.164529764093459,0.588580698732798,0.249166276964914,26
17359,0.426519277836621,35.8745331551909,35.6846448753898,0.115596801973879,0.506828503063005,0.713525940154403,25
6428,0.464692867445473,6.19363709612759,8.38116066867372,0.465081311529502,0.068821577692386,0.270721247063597,20
23201,0.54492342698023,61.5828393547633,14.379506074499,0.667343394597992,0.745009600187096,0.431303945964144,35
677,0.471094052023997,23.5271344942281,10.3122208452449,0.534956255927682,0.340063082511137,0.329041993342477,27
21718,0.432145243410087,22.7985569247025,5.85806821029912,0.125554511323571,0.329176179877433,0.183803744369483,25
4544,0.73283847466782,51.7527597162355,25.0036932581811,0.946984056849033,0.669856737906207,0.608490150348029,23
3408,0.51584761564776,93.5369257359114,70.2525230553855,0.684266590513289,0.893383845662477,0.867102349021532,39
19327,0.598358796566938,8.12803083205865,21.0581061825624,0.794842976843938,0.0978548577340685,0.554158411871212,20
3976,0.42992779925834,61.3506738293009,19.6451364274127,0.265083130681887,0.743431872622998,0.531831122143688,24
26891,0.478545311687964,22.0675264064167,3.42291097870115,0.390612844377756,0.318150080814932,0.0906890238397472,27
12485,0.427167805393994,19.2724040766211,98.5503900654619,0.16845029569231,0.275122416375495,0.917304113962854,8
7853,0.468573971714092,5.48835797941684,18.5533898411596,0.473850064910948,0.05868907823515,0.513372260021173,18
15400,0.453314525312951,87.3633497931718,32.2760870893855,0.324292654171586,0.873445021693201,0.68521615590318,30
6956,0.408077173101589,67.0932021511253,61.5795514030479,0.0470525717828423,0.779923549019059,0.842789219751461,25
6140,0.692583056880838,112.238704568509,176.518270413449,0.924728353042156,0.936975763532569,0.968530988081106,54
68,0.468093658779257,39.8207190971699,34.9114991420181,0.526308492524549,0.55263076422532,0.70745306298347,18
24338,0.526813653464081,38.3593812133012,8.172737596605,0.607629403704777,0.53609391827636,0.264005189110427,23
8572,0.741852410083027,17.7235657602407,4.49912590107912,0.944900571601465,0.250765781844869,0.132444096902046,28
7102,0.745789642511304,16.2968931013561,71.3444907005375,0.947946032742038,0.22807763900106,0.869769122188858,5
25277,0.427923619848476,15.8477072139802,6.12722899092994,0.0608039631042629,0.220894626020412,0.193643060369482,28
