time,discharge_m3s,acc_24hr,Storm_Surge_predicted_RF,event_id,event_time,Lag_RF_minus_RD_hr,Lag_NTR_minus_RD_hr
1952-11-25 00:00:00,0.368119006,0.658209387,-0.009725,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 01:00:00,0.368119006,1.050031817,-0.008106944,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 02:00:00,0.368119006,1.225034681,-0.004445833,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 03:00:00,0.368119006,1.370012175,0.004215278,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 04:00:00,0.368119006,1.52964209,0.016919444,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 05:00:00,0.368119006,1.715234615,0.034665278,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 06:00:00,0.368119006,1.894556465,0.024495833,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 07:00:00,0.368119006,2.211292952,0.015368056,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 08:00:00,0.368119006,2.429266345,0.040326389,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 09:00:00,0.368119006,2.680874996,0.069326389,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 10:00:00,0.368119006,2.930154263,0.069326389,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 11:00:00,0.368119006,3.10386315,0.100326389,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 12:00:00,0.368119006,3.472584541,0.108368056,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 13:00:00,0.368119006,3.636265462,0.095368056,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 14:00:00,0.368119006,4.011844242,0.149368056,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 15:00:00,0.368119006,4.133905049,0.145325,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 16:00:00,0.368119006,4.446587809,0.138281944,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 17:00:00,0.368119006,4.524330789,0.159197222,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 18:00:00,0.368119006,4.650890399,0.1741125,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 19:00:00,0.368119006,5.14776368,0.181027778,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 20:00:00,0.368119006,5.284548594,0.210901389,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 21:00:00,0.368119006,5.709555288,0.203816667,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 22:00:00,0.368119006,6.445017354,0.217690278,0,1952-12-05 00:00:00,119.0,134.0
1952-11-25 23:00:00,0.368119006,6.9,0.223563889,0,1952-12-05 00:00:00,119.0,134.0
1952-11-26 00:00:00,0.339802159,6.326131587,0.226394444,0,1952-12-05 00:00:00,119.0,134.0
1952-11-26 01:00:00,0.339802159,5.984985008,0.206352778,0,1952-12-05 00:00:00,119.0,134.0
1952-11-26 02:00:00,0.339802159,5.835877836,0.196311111,0,1952-12-05 00:00:00,119.0,134.0
1952-11-26 03:00:00,0.339802159,5.717790065,0.225269444,0,1952-12-05 00:00:00,119.0,134.0
1952-11-26 04:00:00,0.339802159,5.579787547,0.229354167,0,1952-12-05 00:00:00,119.0,134.0
1952-11-26 05:00:00,0.339802159,5.435832955,0.208523611,0,1952-12-05 00:00:00,119.0,134.0
1952-11-26 06:00:00,0.339802159,5.342438106,0.220736111,0,1952-12-05 00:00:00,119.0,134.0
1952-11-26 07:00:00,0.339802159,5.053668201,0.203990278,0,1952-12-05 00:00:00,119.0,134.0
1952-11-26 08:00:00,0.339802159,4.873484273,0.1842875,0,1952-12-05 00:00:00,119.0,134.0
1952-11-26 09:00:00,0.339802159,4.643717759,0.165583333,0,1952-12-05 00:00:00,119.0,134.0
