Original_Row,Cluster_ID,Year,Time,U_NTR,U_RF,U_RD,C12,C13,C23,C123,ReturnPeriod_Trivariate,ReturnPeriod_Bivariate,Density,t,mu_sim,sigma_sim,Sim_RD,Sim_NTR,Sim_RF,Weight,Probability
8613,0,1978,87,0.355950170218771,0.466085417781937,0.712045227875933,0.202951674227418,0.282182318624283,0.368678315582901,0.174,1.37238695967144,0.525050023434731,0.202951674227418,25.0732375085558,37.7542727875369,41.9822930934308,89.9357603775313,0.199472865673452,56.1970036452272,28,0.0010769230769230769
15055,1,1993,151,0.872077970235192,0.702348534721345,0.78358289715834,0.64188549030455,0.702657810866383,0.602050766484999,0.548,4.92796964897206,2.96476442638775,0.64188549030455,40.0739219712526,38.8700989278168,43.8599319710403,105.866507235728,0.554143927152266,84.1171188975084,29,0.0011153846153846153
5736,2,1971,58,0.337358856628988,0.236189611655009,0.227078604511917,0.10590222541986,0.0974719902790557,0.0951064247222003,0.045,0.441643865253872,0.375690031899141,0.10590222541986,18.072553045859,37.2335267680633,41.1060159242307,47.8179865467702,0.189745149206275,34.8774191717455,43,0.0016538461538461537
22471,3,2014,225,0.603932446937592,0.970392187261464,0.719833675539121,0.595785176307803,0.483615425960305,0.707606883106621,0.497,,9.31942907064233,0.595785176307803,61.0732375085558,40.4321333311655,46.4884207812729,99.4850186139701,0.33485830888644,173.938521263806,13,0.0005
22794,4,2015,228,0.776805974937805,0.336426657459342,0.0958382016979158,0.289391376701289,0.0853002442715497,0.0561961166233231,0.057,1.21346776787774,1.13533960968009,0.289391376701289,62.072553045859,40.5064674324983,46.6135053204822,45.2020214876251,0.456060545637249,43.9787360528978,33,0.0012692307692307692
24986,5,2021,250,0.939590483886202,0.637367309227282,0.984005629085004,0.616363635979601,0.927251744896213,0.630139229084131,0.605,25.6700269744986,5.07538947154371,0.616363635979601,68.0739219712526,40.9528793506391,47.364697950473,235.781797126125,0.668419064878337,75.1946065281762,3,0.00011538461538461538
24883,6,2021,249,0.69031896564097,0.523514741627831,0.945723362499848,0.403107269925174,0.66149291858695,0.501031787114928,0.371,5.7020823037243,1.05667160903554,0.403107269925174,68.0739219712526,40.9528793506391,47.364697950473,178.436480334676,0.390210355019612,62.0594752015849,14,0.0005384615384615384
1870,7,1958,19,0.674080886992547,0.854630820625262,0.676657211966813,0.607595888417008,0.475376002468574,0.627688259704486,0.485,9.85647445176191,2.53536257807001,0.607595888417008,5.07323750855578,36.266572485521,39.4788888224074,80.7745876072345,0.379195341411486,114.08307571442,18,0.0006923076923076923
380,8,1953,4,0.0392912047718911,0.599569644178501,0.411859819432721,0.0296182352332211,0.0197450006737967,0.265025688456179,0.012,0.794696968122303,0.511826537439374,0.0296182352332211,0.0739219712525667,35.894698323785,38.8531234289935,56.5033310237503,-0.0005968915762485,70.5501062374414,23,0.0008846153846153846
2093,9,1959,21,0.81555353315897,0.922508543231807,0.963576568989083,0.773259460749863,0.792944618051811,0.894044788560106,0.757,124.206477271857,5.68224041762835,0.773259460749863,6.072553045859,36.3409065868537,39.6039733616167,166.967792048375,0.491318230676186,138.506324032249,4,0.00015384615384615385
