time,Storm_Surge_predicted_RF,acc_24hr,discharge_m3s,event_id,event_time,Lag_RF_minus_NTR_hr,Lag_RD_minus_NTR_hr
1952-12-30 06:00:00,0.130955556,13.57711117,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 07:00:00,0.161922222,14.57142503,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 08:00:00,0.169802778,15.35103967,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 09:00:00,0.150683333,17.18503074,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 10:00:00,0.161565278,18.16908361,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 11:00:00,0.167447222,20.03224642,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 12:00:00,0.166329167,25.25568175,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 13:00:00,0.186211111,28.34870765,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 14:00:00,0.221136111,30.39302042,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 15:00:00,0.173018056,33.85630047,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 16:00:00,0.194984722,36.37488878,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 17:00:00,0.232951389,38.53002758,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 18:00:00,0.259918056,38.77324194,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 19:00:00,0.276884722,42.40401691,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 20:00:00,0.25485,44.06132625,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 21:00:00,0.257815278,45.97309552,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 22:00:00,0.255780556,47.82816814,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-30 23:00:00,0.279745833,50.0,31.99803665,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 00:00:00,0.275669444,47.91561668,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 01:00:00,0.277593056,47.46238023,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 02:00:00,0.292516667,47.04571946,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 03:00:00,0.289398611,44.57227633,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 04:00:00,0.3642375,43.57199646,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 05:00:00,0.339076389,42.9886342,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 06:00:00,0.368873611,42.44580315,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 07:00:00,0.389627778,41.32071746,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 08:00:00,0.390381944,40.43846454,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 09:00:00,0.399136111,37.82026128,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 10:00:00,0.379847222,36.54857994,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 11:00:00,0.357558333,34.53370745,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 12:00:00,0.3603125,29.19028007,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 13:00:00,0.357025,25.72414799,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 14:00:00,0.342780556,23.19058074,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 15:00:00,0.372577778,19.44758794,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 16:00:00,0.319416667,16.76403942,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 17:00:00,0.306298611,14.16965905,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 18:00:00,0.219223611,13.17640618,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 19:00:00,0.152105556,8.943404298,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 20:00:00,0.105986111,7.170933545,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 21:00:00,0.081909722,5.070623304,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 22:00:00,0.022833333,3.106098634,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1952-12-31 23:00:00,-0.040158333,0.8,53.51884006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 00:00:00,-0.00915,0.766107588,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 01:00:00,-0.038183333,0.75873789,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 02:00:00,-0.058216667,0.751962918,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 03:00:00,-0.03525,0.71174433,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 04:00:00,-0.032326389,0.695479617,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 05:00:00,-0.011402778,0.685994052,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 06:00:00,-0.036479167,0.677167531,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 07:00:00,-0.031640278,0.658873455,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 08:00:00,-0.009801389,0.644527879,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 09:00:00,-0.0089625,0.601955468,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 10:00:00,-0.004166667,0.581277723,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 11:00:00,0.000629167,0.548515568,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 12:00:00,0.002426389,0.46163057,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 13:00:00,-0.001776389,0.405270699,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 14:00:00,0.017020833,0.364074484,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 15:00:00,0.023859722,0.303212812,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 16:00:00,0.011698611,0.259577877,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 17:00:00,0.008580556,0.21739283,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 18:00:00,0.020504167,0.201242377,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 19:00:00,0.020469444,0.132413078,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 20:00:00,0.013477778,0.103592415,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 21:00:00,-0.000513889,0.069441029,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 22:00:00,0.009579167,0.037497539,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-01 23:00:00,0.046713889,0.0,28.60001506,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 00:00:00,0.052848611,0.469902584,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 01:00:00,0.059026389,0.639542491,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 02:00:00,0.070204167,0.828266003,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 03:00:00,0.090381944,0.955327678,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 04:00:00,0.090559722,1.187146456,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 05:00:00,0.1027375,1.342403499,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 06:00:00,0.100915278,1.398954922,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 07:00:00,0.12105,1.476989468,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 08:00:00,0.102143056,1.538797006,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 09:00:00,0.127194444,1.635216351,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 10:00:00,0.126245833,1.89111999,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 11:00:00,0.096297222,1.991615235,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 12:00:00,0.126348611,2.120138108,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 13:00:00,0.149356944,2.262963088,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 14:00:00,0.166365278,2.466551433,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 15:00:00,0.143331944,2.545267923,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 16:00:00,0.136297222,2.686735412,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 17:00:00,0.172263889,2.965995888,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 18:00:00,0.189229167,3.135454435,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 19:00:00,0.133111111,3.283318362,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 20:00:00,0.100991667,3.565297769,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 21:00:00,0.094873611,3.838387883,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 22:00:00,0.083797222,4.155329977,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-02 23:00:00,0.127720833,4.6,13.64872006,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-03 00:00:00,0.141686111,4.130097416,9.910896307,0,1953-01-09 06:00:00,-223.0,-222.0
1953-01-03 01:00:00,0.126651389,3.960457509,9.910896307,0,1953-01-09 06:00:00,-223.0,-222.0
