time,POT_RD,Max_NTR,Max_RF
1952-12-05,11.15683756,0.237630556,8.4
1952-12-10,6.796043182,0.298681944,70.6
1952-12-20,9.287925682,0.2798625,11.9
1952-12-26,17.21664273,0.252680556,29.7
1952-12-31,53.51884006,0.399136111,50.0
1953-02-20,80.98618125,0.352284722,28.93130393
1953-04-25,114.9663972,0.136475,29.5
1953-06-28,45.30695455,0.256226389,68.6
1953-12-06,46.43962841,0.424015278,73.7
1953-12-12,50.6871554,0.349195833,44.7
1954-02-21,9.797628921,0.366568056,24.9
1954-03-28,12.23287773,0.173319444,52.8
1954-04-17,20.7845654,0.202794444,11.9
1954-07-10,31.99803665,-0.039930556,12.2
1954-12-29,22.99327943,0.378109722,40.1
1955-01-01,35.39605824,0.378109722,23.34525029
1955-02-06,79.00400199,0.707983333,70.1
1955-04-10,103.6396585,0.160843056,68.8
1955-04-13,144.1327492,0.240358333,339.3
1955-08-02,120.6297665,0.424808333,113.0
1956-06-16,66.26142103,0.341198611,72.1
1956-06-19,31.43169972,0.152502778,49.58982036
1956-09-24,78.72083353,0.729720833,118.4990964
1956-10-01,28.88318352,-0.012019444,49.5
1956-12-24,127.4258097,0.335868056,50.3
1957-04-05,34.54655284,0.368452778,130.3
1957-09-18,121.4792719,0.098184722,122.7
1957-10-24,30.58219432,0.1432625,15.5
1957-11-14,54.65151392,0.323643056,52.40610941
1957-11-23,29.73268892,0.168676389,57.9
1958-01-21,68.80993722,0.631530556,67.8
1958-03-07,44.74061762,0.360516667,78.7
1958-03-24,43.32477529,0.392930556,14.2
1958-05-19,57.76636705,0.186522222,9.9
1958-07-22,49.27131307,-0.004129167,21.6
1959-02-03,59.74854631,0.359166667,56.4
1959-05-21,74.756475,0.099005556,39.1
1959-06-02,41.90893296,0.204352778,32.60418132
1959-06-09,133.9386844,0.114786111,72.6
1959-09-26,63.71290483,-0.072640278,56.9
1960-01-18,30.01585739,0.422443056,70.1
1960-02-04,57.76636705,0.540594444,41.1
1960-04-03,84.10103438,0.422630556,46.2
1960-05-07,45.02378608,0.271361111,71.4
1960-09-16,94.29509915,0.288476389,69.9
1961-02-19,137.6198744,0.363609722,51.1
1961-02-25,84.66737131,0.313944444,52.1
1961-03-17,146.3980969,0.503609722,82.6
1961-06-20,116.099071,0.402455556,154.4
1961-11-14,126.2931358,0.140997222,38.75498567
1962-01-06,32.56437358,0.451668056,47.2
1962-01-27,20.18991162,0.394188889,19.3
1962-02-19,35.67922671,0.287119444,69.1
1962-03-02,32.84754205,0.201805556,23.1
1962-04-07,20.16159477,0.326044444,1.853322803
1963-01-20,36.24556364,0.398806944,80.8
1963-02-12,19.65189153,0.419729167,28.4
1963-02-19,19.99169369,0.6178,35.6
1963-02-25,25.85328094,0.218779167,27.9
1963-07-13,16.11228571,-0.021376389,27.22659884
1964-01-07,43.60794375,0.441375,63.0
