time,Tides,Year,Month,Signal_ID,Peak_Time
2007-03-19 17:00:00,-0.031,2007,April,53,2007-04-18 17:00:00
2007-03-19 18:00:00,-0.032,2007,April,53,2007-04-18 17:00:00
2007-03-19 19:00:00,-0.048,2007,April,53,2007-04-18 17:00:00
2007-03-19 20:00:00,-0.074,2007,April,53,2007-04-18 17:00:00
2007-03-19 21:00:00,-0.102,2007,April,53,2007-04-18 17:00:00
2007-03-19 22:00:00,-0.128,2007,April,53,2007-04-18 17:00:00
2007-03-19 23:00:00,-0.15,2007,April,53,2007-04-18 17:00:00
2007-03-20 00:00:00,-0.165,2007,April,53,2007-04-18 17:00:00
2007-03-20 01:00:00,-0.172,2007,April,53,2007-04-18 17:00:00
2007-03-20 02:00:00,-0.17,2007,April,53,2007-04-18 17:00:00
2007-03-20 03:00:00,-0.161,2007,April,53,2007-04-18 17:00:00
2007-03-20 04:00:00,-0.142,2007,April,53,2007-04-18 17:00:00
2007-03-20 05:00:00,-0.115,2007,April,53,2007-04-18 17:00:00
2007-03-20 06:00:00,-0.087,2007,April,53,2007-04-18 17:00:00
2007-03-20 07:00:00,-0.067,2007,April,53,2007-04-18 17:00:00
2007-03-20 08:00:00,-0.055,2007,April,53,2007-04-18 17:00:00
2007-03-20 09:00:00,-0.046,2007,April,53,2007-04-18 17:00:00
2007-03-20 10:00:00,-0.035,2007,April,53,2007-04-18 17:00:00
2007-03-20 11:00:00,-0.023,2007,April,53,2007-04-18 17:00:00
2007-03-20 12:00:00,-0.009,2007,April,53,2007-04-18 17:00:00
2007-03-20 13:00:00,0.005,2007,April,53,2007-04-18 17:00:00
2007-03-20 14:00:00,0.02,2007,April,53,2007-04-18 17:00:00
2007-03-20 15:00:00,0.034,2007,April,53,2007-04-18 17:00:00
2007-03-20 16:00:00,0.045,2007,April,53,2007-04-18 17:00:00
2007-03-20 17:00:00,0.054,2007,April,53,2007-04-18 17:00:00
2007-03-20 17:00:00,0.054,2007,April,50,2007-04-19 17:00:00
2007-03-20 18:00:00,0.053,2007,April,53,2007-04-18 17:00:00
2007-03-20 18:00:00,0.053,2007,April,50,2007-04-19 17:00:00
2007-03-20 19:00:00,0.036,2007,April,50,2007-04-19 17:00:00
2007-03-20 19:00:00,0.036,2007,April,53,2007-04-18 17:00:00
