time,Tides,Year,Month,Signal_ID,Peak_Time
2007-01-15 02:00:00,0.087,2007,February,70,2007-02-14 02:00:00
2007-01-15 03:00:00,0.058,2007,February,70,2007-02-14 02:00:00
2007-01-15 04:00:00,0.011,2007,February,70,2007-02-14 02:00:00
2007-01-15 05:00:00,-0.045,2007,February,70,2007-02-14 02:00:00
2007-01-15 06:00:00,-0.104,2007,February,70,2007-02-14 02:00:00
2007-01-15 07:00:00,-0.166,2007,February,70,2007-02-14 02:00:00
2007-01-15 08:00:00,-0.226,2007,February,70,2007-02-14 02:00:00
2007-01-15 09:00:00,-0.281,2007,February,70,2007-02-14 02:00:00
2007-01-15 10:00:00,-0.327,2007,February,70,2007-02-14 02:00:00
2007-01-15 11:00:00,-0.363,2007,February,70,2007-02-14 02:00:00
2007-01-15 12:00:00,-0.383,2007,February,70,2007-02-14 02:00:00
2007-01-15 13:00:00,-0.385,2007,February,70,2007-02-14 02:00:00
2007-01-15 14:00:00,-0.371,2007,February,70,2007-02-14 02:00:00
2007-01-15 15:00:00,-0.345,2007,February,70,2007-02-14 02:00:00
2007-01-15 16:00:00,-0.311,2007,February,70,2007-02-14 02:00:00
2007-01-15 17:00:00,-0.268,2007,February,70,2007-02-14 02:00:00
2007-01-15 18:00:00,-0.218,2007,February,70,2007-02-14 02:00:00
2007-01-15 19:00:00,-0.164,2007,February,70,2007-02-14 02:00:00
2007-01-15 20:00:00,-0.11,2007,February,70,2007-02-14 02:00:00
2007-01-15 21:00:00,-0.056,2007,February,70,2007-02-14 02:00:00
2007-01-15 22:00:00,-0.002,2007,February,70,2007-02-14 02:00:00
2007-01-15 23:00:00,0.047,2007,February,70,2007-02-14 02:00:00
2007-01-16 00:00:00,0.087,2007,February,70,2007-02-14 02:00:00
2007-01-16 01:00:00,0.115,2007,February,70,2007-02-14 02:00:00
2007-01-16 02:00:00,0.125,2007,February,70,2007-02-14 02:00:00
2007-01-16 03:00:00,0.114,2007,February,70,2007-02-14 02:00:00
2007-01-16 03:00:00,0.114,2007,February,66,2007-02-15 03:00:00
2007-01-16 04:00:00,0.079,2007,February,70,2007-02-14 02:00:00
2007-01-16 04:00:00,0.079,2007,February,66,2007-02-15 03:00:00
2007-01-16 05:00:00,0.026,2007,February,70,2007-02-14 02:00:00
2007-01-16 05:00:00,0.026,2007,February,66,2007-02-15 03:00:00
2007-01-16 06:00:00,-0.036,2007,February,70,2007-02-14 02:00:00
2007-01-16 06:00:00,-0.036,2007,February,66,2007-02-15 03:00:00
2007-01-16 07:00:00,-0.103,2007,February,66,2007-02-15 03:00:00
2007-01-16 07:00:00,-0.103,2007,February,70,2007-02-14 02:00:00
