time,Storm_Surge_predicted_RF
1/1/1950 0:00,0.024925
1/1/1950 1:00,0.031426593
1/1/1950 2:00,0.053762431
1/1/1950 3:00,0.067016529
1/1/1950 4:00,0.071192308
1/1/1950 5:00,0.091454795
1/1/1950 6:00,0.088806011
1/1/1950 7:00,0.090326975
1/1/1950 8:00,0.093016304
1/1/1950 9:00,0.091872629
1/1/1950 10:00,0.113894595
1/1/1950 11:00,0.094161725
1/1/1950 12:00,0.092510753
1/1/1950 13:00,0.076021448
1/1/1950 14:00,0.102692513
1/1/1950 15:00,0.08544
1/1/1950 16:00,0.088183511
1/1/1950 17:00,0.082923077
1/1/1950 18:00,0.100497354
1/1/1950 19:00,0.081989446
1/1/1950 20:00,0.090397368
1/1/1950 21:00,0.098564304
1/1/1950 22:00,0.105570681
1/1/1950 23:00,0.082417755
1/2/1950 0:00,0.095106771
1/2/1950 1:00,0.090638961
1/2/1950 2:00,0.099093264
1/2/1950 3:00,0.095472868
1/2/1950 4:00,0.115775773
1/2/1950 5:00,0.127082262
1/2/1950 6:00,0.123471795
1/2/1950 7:00,0.15702046
1/2/1950 8:00,0.163647959
1/2/1950 9:00,0.17051145
1/2/1950 10:00,0.143530457
1/2/1950 11:00,0.166779747
1/2/1950 12:00,0.149181818
1/2/1950 13:00,0.150735516
1/2/1950 14:00,0.133439698
1/2/1950 15:00,0.159293233
1/2/1950 16:00,0.16922
1/2/1950 17:00,0.168142145
1/2/1950 18:00,0.156982587
1/2/1950 19:00,0.168744417
1/2/1950 20:00,0.173425743
1/2/1950 21:00,0.176953086
1/2/1950 22:00,0.179327586
1/2/1950 23:00,0.150550369
1/3/1950 0:00,0.184622549
1/3/1950 1:00,0.166471883
1/3/1950 2:00,0.161173171
1/3/1950 3:00,0.172727494
1/3/1950 4:00,0.174208738
1/3/1950 5:00,0.169619855
1/3/1950 6:00,0.155958937
1/3/1950 7:00,0.189375904
1/3/1950 8:00,0.197867788
1/3/1950 9:00,0.178508393
1/3/1950 10:00,0.190296651
1/3/1950 11:00,0.197085919
1/3/1950 12:00,0.193240476
1/3/1950 13:00,0.178539192
1/3/1950 14:00,0.179981043
1/3/1950 15:00,0.161491726
1/3/1950 16:00,0.153143868
1/3/1950 17:00,0.158865882
1/3/1950 18:00,0.152584507
1/3/1950 19:00,0.166227166
1/3/1950 20:00,0.171796729
1/3/1950 21:00,0.171221445
1/3/1950 22:00,0.167502326
1/3/1950 23:00,0.195640371
1/4/1950 0:00,0.192636574
1/4/1950 1:00,0.194491917
1/4/1950 2:00,0.206207373
1/4/1950 3:00,0.233783908
1/4/1950 4:00,0.248222477
1/4/1950 5:00,0.253592677
1/4/1950 6:00,0.28489726
1/4/1950 7:00,0.278205011
1/4/1950 8:00,0.285515909
1/4/1950 9:00,0.330968254
1/4/1950 10:00,0.316561086
1/4/1950 11:00,0.332293454
1/4/1950 12:00,0.341231982
1/4/1950 13:00,0.340307865
1/4/1950 14:00,0.357520179
1/4/1950 15:00,0.355868009
1/4/1950 16:00,0.303283482
1/4/1950 17:00,0.287832962
1/4/1950 18:00,0.288446667
1/4/1950 19:00,0.27605765
1/4/1950 20:00,0.285599558
1/4/1950 21:00,0.255004415
1/4/1950 22:00,0.249339207
1/4/1950 23:00,0.242606593
1/5/1950 0:00,0.236739035
1/5/1950 1:00,0.232737418
1/5/1950 2:00,0.23660262
1/5/1950 3:00,0.222400871
1/5/1950 4:00,0.222067391
1/5/1950 5:00,0.240670282
1/5/1950 6:00,0.251207792
1/5/1950 7:00,0.2587473
1/5/1950 8:00,0.259355603
1/5/1950 9:00,0.274096774
1/5/1950 10:00,0.291969957
