time,WL_trend_30d_filled
2020-09-01 00:00:00,0.3346875
2020-09-01 01:00:00,0.336309722
2020-09-01 02:00:00,0.337947222
2020-09-01 03:00:00,0.339579167
2020-09-01 04:00:00,0.341309722
2020-09-01 05:00:00,0.342977778
2020-09-01 06:00:00,0.344670833
2020-09-01 07:00:00,0.346436111
2020-09-01 08:00:00,0.348122222
2020-09-01 09:00:00,0.349790278
2020-09-01 10:00:00,0.351604167
2020-09-01 11:00:00,0.353522222
2020-09-01 12:00:00,0.355558333
2020-09-01 13:00:00,0.357723611
2020-09-01 14:00:00,0.359809722
2020-09-01 15:00:00,0.361784722
2020-09-01 16:00:00,0.363681944
2020-09-01 17:00:00,0.365425
2020-09-01 18:00:00,0.367113889
2020-09-01 19:00:00,0.368806944
2020-09-01 20:00:00,0.370501389
2020-09-01 21:00:00,0.372205556
2020-09-01 22:00:00,0.373876389
2020-09-01 23:00:00,0.375522222
2020-09-02 00:00:00,0.377123611
2020-09-02 01:00:00,0.378673611
2020-09-02 02:00:00,0.380155556
2020-09-02 03:00:00,0.3815375
2020-09-02 04:00:00,0.382809722
2020-09-02 05:00:00,0.383961111
2020-09-02 06:00:00,0.385009722
2020-09-02 07:00:00,0.385947222
2020-09-02 08:00:00,0.386741667
2020-09-02 09:00:00,0.387431944
2020-09-02 10:00:00,0.3880125
2020-09-02 11:00:00,0.388490278
2020-09-02 12:00:00,0.388877778
2020-09-02 13:00:00,0.3891875
2020-09-02 14:00:00,0.3894625
2020-09-02 15:00:00,0.389705556
2020-09-02 16:00:00,0.389936111
2020-09-02 17:00:00,0.390166667
2020-09-02 18:00:00,0.390408333
2020-09-02 19:00:00,0.390675
2020-09-02 20:00:00,0.390986111
2020-09-02 21:00:00,0.391334722
2020-09-02 22:00:00,0.391686111
2020-09-02 23:00:00,0.392084722
2020-09-03 00:00:00,0.392497222
2020-09-03 01:00:00,0.392955556
2020-09-03 02:00:00,0.393444444
2020-09-03 03:00:00,0.393941667
2020-09-03 04:00:00,0.394456944
2020-09-03 05:00:00,0.394966667
2020-09-03 06:00:00,0.395463889
2020-09-03 07:00:00,0.395913889
2020-09-03 08:00:00,0.396290278
2020-09-03 09:00:00,0.396634722
2020-09-03 10:00:00,0.3969125
2020-09-03 11:00:00,0.397026389
2020-09-03 12:00:00,0.397201389
2020-09-03 13:00:00,0.397256944
2020-09-03 14:00:00,0.3972375
2020-09-03 15:00:00,0.397215278
2020-09-03 16:00:00,0.397188889
2020-09-03 17:00:00,0.397141667
2020-09-03 18:00:00,0.397118056
2020-09-03 19:00:00,0.397109722
2020-09-03 20:00:00,0.397173611
2020-09-03 21:00:00,0.397302778
2020-09-03 22:00:00,0.397461111
2020-09-03 23:00:00,0.397669444
2020-09-04 00:00:00,0.397911111
2020-09-04 01:00:00,0.398201389
2020-09-04 02:00:00,0.398536111
2020-09-04 03:00:00,0.398902778
2020-09-04 04:00:00,0.399316667
2020-09-04 05:00:00,0.399784722
2020-09-04 06:00:00,0.400248611
2020-09-04 07:00:00,0.400719444
2020-09-04 08:00:00,0.401145833
2020-09-04 09:00:00,0.401547222
2020-09-04 10:00:00,0.401891667
2020-09-04 11:00:00,0.402136111
