Time,POT_NTR,acc_14hr,Matched_Tide_Time,Matched_Tide_Value,Lag_Time,Lag_Time_Hours
1950-12-06 07:00:00,0.369860104,32.67113655740717,1951-01-02 00:00:00,0.005,26 days 17:00:00,641.0
1951-12-21 13:00:00,0.415311111,9.926604864689518,1951-12-22 01:00:00,-0.023,0 days 12:00:00,12.0
1951-12-30 15:00:00,0.334545833,0.0,1951-12-31 07:00:00,0.194,0 days 16:00:00,16.0
1953-12-04 09:00:00,0.424015278,33.554355730610645,1953-12-05 03:00:00,0.221,0 days 18:00:00,18.0
1954-12-29 13:00:00,0.378109722,28.986393950477105,1954-12-30 07:00:00,0.021,0 days 18:00:00,18.0
1959-12-12 10:00:00,0.383469444,29.76176326492882,1959-12-13 03:00:00,0.147,0 days 17:00:00,17.0
1959-12-28 10:00:00,0.393586111,3.461925604508408,1959-12-29 04:00:00,0.174,0 days 18:00:00,18.0
1961-12-31 22:00:00,0.455044444,16.54157676329546,1962-01-01 01:00:00,-0.007,0 days 03:00:00,3.0
1963-12-23 06:00:00,0.385854167,7.078824170241894,1963-12-23 08:00:00,0.013,0 days 02:00:00,2.0
1967-12-11 11:00:00,0.392219835,60.23674354211178,1967-12-12 02:00:00,0.089,0 days 15:00:00,15.0
1967-12-28 08:00:00,0.401688889,14.03702792676073,1967-12-29 02:00:00,0.191,0 days 18:00:00,18.0
1968-12-28 09:00:00,0.525344444,28.369879209976503,1968-12-29 01:00:00,0.063,0 days 16:00:00,16.0
1969-12-07 08:00:00,0.783176389,25.1263190049551,1969-12-08 03:00:00,0.242,0 days 19:00:00,19.0
1970-12-31 03:00:00,0.395113889,17.330899012927556,1970-12-31 07:00:00,0.178,0 days 04:00:00,4.0
1972-12-21 18:00:00,0.465305556,17.974661373457355,1972-12-22 06:00:00,0.235,0 days 12:00:00,12.0
1973-12-04 14:00:00,0.454802778,15.847093474050112,1973-12-05 01:00:00,0.076,0 days 11:00:00,11.0
1973-12-26 15:00:00,0.482915278,21.96723602703675,1973-12-27 06:00:00,0.121,0 days 15:00:00,15.0
1974-12-07 16:00:00,0.436031944,9.03943168839136,1974-12-08 01:00:00,0.057,0 days 09:00:00,9.0
1975-12-25 18:00:00,0.611954167,21.501264353735973,1975-12-26 00:00:00,-0.018,0 days 06:00:00,6.0
1975-12-31 07:00:00,0.450256944,33.2456545267443,1976-01-01 04:00:00,0.152,0 days 21:00:00,21.0
1976-12-25 23:00:00,0.372890805,19.13706035305921,1976-12-27 06:00:00,-0.066,1 days 07:00:00,31.0
1977-12-30 12:00:00,0.465834722,18.816125036957693,1977-12-31 07:00:00,-0.016,0 days 19:00:00,19.0
1979-12-24 13:00:00,0.472848611,8.189679334035016,1979-12-25 08:00:00,0.003,0 days 19:00:00,19.0
1983-12-28 11:00:00,0.568393056,25.878127267508248,1983-12-29 01:00:00,0.027,0 days 14:00:00,14.0
1986-12-23 16:00:00,0.538805556,18.18286208434684,1986-12-24 04:00:00,-0.05,0 days 12:00:00,12.0
1989-12-31 16:00:00,0.494190278,52.05285164963615,1990-01-01 07:00:00,0.071,0 days 15:00:00,15.0
1993-12-14 04:00:00,0.513852778,19.06683096720582,1993-12-14 05:00:00,0.234,0 days 01:00:00,1.0
1995-12-19 05:00:00,0.482559722,72.63428092298764,1995-12-20 03:00:00,0.17,0 days 22:00:00,22.0
1996-12-01 10:00:00,0.4522125,41.07477337521998,1996-12-02 07:00:00,0.087,0 days 21:00:00,21.0
1997-12-24 16:00:00,0.442031944,20.048345222445484,1997-12-25 02:00:00,0.047,0 days 10:00:00,10.0
2000-12-28 10:00:00,0.439408333,14.529339611087046,2000-12-29 06:00:00,0.106,0 days 20:00:00,20.0
2002-12-24 15:00:00,0.536506944,17.554546039026697,2002-12-25 08:00:00,0.096,0 days 17:00:00,17.0
2002-12-31 18:00:00,0.610043056,78.98982298436039,2003-01-01 03:00:00,0.177,0 days 09:00:00,9.0
2003-12-10 09:00:00,0.410327778,8.115015552354516,2003-12-11 05:00:00,0.212,0 days 20:00:00,20.0
2003-12-13 22:00:00,0.398193056,13.68900684825033,2003-12-14 07:00:00,0.174,0 days 09:00:00,9.0
2005-12-15 11:00:00,0.447284722,29.64754317638516,2005-12-16 04:00:00,0.219,0 days 17:00:00,17.0
2007-12-30 16:00:00,0.353959722,22.45598977161431,2007-12-31 01:00:00,-0.061,0 days 09:00:00,9.0
2009-12-02 12:00:00,0.563041667,27.235671357212013,2009-12-03 05:00:00,0.301,0 days 17:00:00,17.0
2009-12-25 01:00:00,0.700306944,15.885627929682611,2009-12-26 00:00:00,0.03,0 days 23:00:00,23.0
2011-12-22 22:00:00,0.423934722,13.60244644477855,2011-12-23 03:00:00,0.21,0 days 05:00:00,5.0
2012-12-20 19:00:00,0.382969444,7.262342645966955,2012-12-22 01:00:00,0.044,1 days 06:00:00,30.0
2012-12-26 07:00:00,0.498406944,10.73109801927012,2012-12-28 04:00:00,0.133,1 days 21:00:00,45.0
2013-12-22 13:00:00,0.413693056,60.79460757972449,2013-12-23 07:00:00,0.014,0 days 18:00:00,18.0
2014-12-24 12:00:00,0.5141875,6.592742446444417,2014-12-25 07:00:00,0.121,0 days 19:00:00,19.0
2015-12-28 17:00:00,0.406026389,26.588512780277803,2015-12-29 07:00:00,0.065,0 days 14:00:00,14.0
2018-12-14 13:00:00,0.442033333,12.395411265171065,2018-12-16 04:00:00,-0.018,1 days 15:00:00,39.0
2018-12-20 18:00:00,0.441431944,21.67075709897008,2018-12-21 03:00:00,0.149,0 days 09:00:00,9.0
2019-12-22 17:00:00,0.367306944,24.03190684812801,2019-12-23 02:00:00,0.11,0 days 09:00:00,9.0
2020-12-24 16:00:00,0.5012375,35.014442879458585,2020-12-25 02:00:00,0.042,0 days 10:00:00,10.0
2022-12-15 06:00:00,0.474752778,12.975482468275668,2022-12-15 08:00:00,0.081,0 days 02:00:00,2.0
2023-12-25 11:00:00,0.593509722,19.965205530301485,2023-12-26 03:00:00,0.193,0 days 16:00:00,16.0
